id,sale_price,bedrooms,bathrooms,metersq_living,metersq_lot,floors,waterfront,view,condition,grade,metersq_above,metersq_basement,yr_built,block_no,location1,location2,metersq_built,metersq_land
42,1.05E+06,4,3.25,4020,11588,2,0,0,3,11,4020,0,2000,59,0.5217,-0.155,3190,8066
43,268000,5,1.75,1730,10368,1,0,0,5,7,1010,720,1963,59,0.5008,-0.162,1730,7728
44,470000,3,2.25,1780,8784,1,0,0,3,7,1230,550,1977,33,0.701,-0.172,1780,7704
45,349000,4,3,1830,4694,2,0,0,3,7,1830,0,2003,38,0.3573,-0.016,1830,5175
46,340000,4,3,2020,32710,1,0,0,3,7,1070,950,1941,168,0.4969,-0.33,1340,17700
47,950000,3,3,3610,17483,2,0,2,4,8,3610,0,1954,146,0.4852,-0.357,2230,12600
48,820000,4,3.5,2770,8049,2,0,0,3,9,2770,0,2002,74,0.6469,-0.081,3410,7447
49,689000,4,2.75,3250,10000,2,0,0,3,9,3250,0,2014,155,0.7557,-0.309,1620,10089
50,401000,2,1,840,8100,1,0,0,4,7,840,0,1948,177,0.7019,-0.366,1100,8220
51,590000,3,1.75,1560,242629,1,0,0,3,7,1560,0,1981,53,0.6493,0.044,2320,220654
52,542000,2,1,890,3060,1,0,0,3,7,770,120,1910,105,0.6663,-0.326,1760,4080
53,1.14E+06,3,3,2780,33503,2,0,1,4,8,2110,670,1969,75,0.5844,-0.081,3150,15542
54,600000,5,2.25,2760,6350,1,0,0,3,7,1380,1380,1958,126,0.5561,-0.379,2060,6342
55,375000,3,3,1330,816,3,0,0,3,8,1330,0,2004,117,0.6836,-0.387,1330,1113
56,339888,3,1,1040,7490,1,0,0,3,7,1040,0,1969,34,0.7137,-0.213,1520,7410
57,542525,4,3,2650,5600,2,0,0,3,8,2650,0,2014,59,0.4786,-0.122,2650,5600
58,737000,2,2.25,2290,9772,1,0,0,3,8,2290,0,2007,53,0.7199,-0.025,1810,6077
59,575000,5,3,2990,7500,1,0,2,3,9,1800,1190,1972,177,0.7707,-0.369,2800,9860
60,375000,2,3,750,1430,2,0,0,3,8,750,0,2006,122,0.6093,-0.31,1320,2790
61,685000,3,2.75,3150,219978,2,0,0,4,9,3000,150,1990,24,0.553,0.054,3180,218235
62,379000,3,1,1140,10320,1,0,0,4,7,1140,0,1963,34,0.7168,-0.196,1140,10412
63,570000,3,1.75,1930,36210,1,0,0,3,8,1930,0,1977,72,0.7692,-0.128,1930,35060
64,1.00E+06,4,2.75,3090,16538,3,0,0,4,8,2590,500,1919,116,0.5803,-0.403,1500,5130
65,957000,5,3.25,3160,5000,2,0,2,3,10,2180,980,2005,199,0.6464,-0.405,3160,5746
66,376500,3,2,1630,7800,1,0,0,5,7,1630,0,1950,125,0.7326,-0.307,1470,7800
67,499950,5,3,3180,23809,1,0,0,3,9,3180,0,1978,38,0.3727,-0.054,2500,15778
68,890000,4,3.25,3180,194278,2,0,0,3,10,3180,0,2005,59,0.4711,-0.084,2200,178160
69,581000,4,2,2510,13695,1,0,0,4,7,1280,1230,1961,33,0.7005,-0.174,1220,12500
70,398000,3,1.75,1890,16001,2,0,0,4,7,1890,0,1950,11,0.7663,-0.201,1820,11450
71,330000,4,2.25,2430,7490,2,0,0,3,8,2430,0,1983,58,0.4406,-0.139,2070,7469
72,500000,3,2.25,1730,13040,1,0,0,4,8,1290,440,1988,52,0.6809,-0.119,1730,11016
73,425000,4,1.75,1910,16785,1,0,0,4,7,1110,800,1981,28,0.7474,-0.235,1590,9900
74,301950,3,1.75,1370,9288,1,0,0,4,7,1370,0,1988,59,0.4824,-0.152,1500,9864
75,274950,3,1,1450,8820,1,0,0,3,6,1050,400,1958,168,0.4698,-0.264,1510,8820
76,350000,5,3,2520,5500,1,0,0,3,8,1550,970,2004,178,0.4938,-0.255,1700,8000
77,335000,4,2,2030,103672,1,0,0,4,7,2030,0,1969,22,0.1647,0.027,1560,325393
78,675000,3,2,1010,5973,1,0,0,5,6,1010,0,1942,33,0.6652,-0.202,1920,6015
79,272000,3,1.5,1380,11760,1,0,0,4,7,1380,0,1963,55,0.4243,-0.202,1650,9855
80,1.33E+06,4,2.25,3260,4640,2,0,0,5,9,2360,900,1907,112,0.6272,-0.312,3240,5800
81,462500,6,3,2390,4000,2,0,0,3,7,2390,0,2014,118,0.5173,-0.286,1680,5000
82,410000,5,2.75,2910,5802,2,0,0,3,7,2910,0,2006,38,0.3591,-0.036,2910,5000
83,355000,2,1,1450,9150,1,0,0,4,7,1450,0,1965,188,0.4689,-0.277,1440,10636
84,291750,3,2.25,1310,12825,1,0,0,3,7,1310,0,1950,166,0.4515,-0.368,1600,11250
85,680000,6,3,3180,9375,1,0,0,4,8,1590,1590,1967,6,0.5707,-0.129,2670,9625
86,270000,3,2,1560,8853,1,0,0,3,7,1560,0,1967,58,0.4312,-0.171,1610,8750
87,385500,3,2,1540,7947,1,0,0,3,7,1120,420,1961,11,0.7605,-0.217,1910,7950
88,1.88E+06,3,3,3280,29111,2,1,3,3,11,3280,0,1925,199,0.6699,-0.416,3530,21074
89,750000,2,1.5,1300,7632,1,0,2,3,7,1300,0,1943,122,0.6134,-0.308,1420,1676
90,949880,4,2.25,2290,10687,2,0,0,3,9,2290,0,1978,4,0.5878,-0.202,2290,10300
91,390000,2,1,1140,8147,1,0,0,3,7,1140,0,1958,125,0.7278,-0.289,1260,8148
92,370000,5,3,2220,5185,2,0,3,3,7,2220,0,2003,118,0.543,-0.29,2340,6316
93,396900,3,2,1360,3120,2,0,0,3,7,1360,0,1989,115,0.6943,-0.307,1360,3120
94,538000,4,1.75,1880,7953,1,0,0,4,7,1880,0,1965,8,0.5838,-0.123,1750,8591
95,280000,3,1,980,7480,1,0,0,3,6,830,150,1948,106,0.5206,-0.363,1140,7480
96,165000,3,1,1150,19200,1,0,0,4,5,1150,0,1908,1,0.2756,-0.27,1290,19200
97,592500,3,2,1170,6750,1,0,0,5,7,800,370,1947,115,0.6752,-0.281,1330,6750
98,115000,3,1.75,1080,7942,1,0,0,3,7,1080,0,1981,23,0.3141,-0.355,1380,8244
99,1.34E+06,3,3,2960,5500,2,0,2,3,10,2440,520,1937,199,0.6356,-0.402,2960,5876
100,719000,5,2,3110,6131,1,0,0,5,7,1560,1550,1940,118,0.5615,-0.279,1720,6600
101,567500,3,1,1440,3060,2,0,0,4,7,1440,0,1910,115,0.6769,-0.307,1440,3570
102,616000,3,3.25,2130,2306,2,0,1,5,7,1420,710,1924,136,0.5424,-0.391,1560,4500
103,219950,3,2.25,1500,7615,1,0,0,3,7,1150,350,1984,23,0.3146,-0.351,1540,8649
104,406000,3,1.5,1370,7853,1,0,0,4,7,1370,0,1962,56,0.5409,-0.18,1730,9465
105,482500,4,3,1630,7626,1,0,0,5,7,1110,520,1990,125,0.7168,-0.308,1630,8082
106,345100,3,3.75,1950,8625,1,0,0,3,8,1360,590,1959,178,0.505,-0.258,1950,6670
107,505000,3,3,2100,17882,2,0,0,4,8,2100,0,1985,59,0.4754,-0.119,2080,16686
108,690500,5,2,2000,4211,2,0,2,4,7,1280,720,1908,112,0.6283,-0.301,1680,4000
109,297000,3,2.25,1450,7562,2,0,0,3,7,1450,0,1994,56,0.5038,-0.189,1650,7625
110,400000,3,1.75,1470,6682,1,0,0,3,7,1470,0,1987,34,0.7315,-0.226,1790,7379
111,641200,3,1,1060,9123,1,0,0,3,7,1060,0,1952,4,0.6218,-0.193,1620,9121
112,335000,4,3,1980,4745,2,0,0,3,7,1980,0,2004,38,0.3495,-0.04,1980,4878
113,625000,4,3.25,2730,54014,1,0,0,3,9,1560,1170,2007,59,0.5133,-0.11,2730,111274
114,360000,3,1,1660,9600,1,0,0,3,7,1660,0,1963,34,0.708,-0.216,2020,9600
115,665000,3,2.75,1800,9550,1,0,0,4,7,1320,480,1966,6,0.5679,-0.178,1890,9902
116,341000,3,1,940,4200,1,0,0,3,7,940,0,1955,103,0.6878,-0.35,1380,4080
117,870000,4,3,2940,7108,2,0,1,3,9,2220,720,2011,136,0.5437,-0.395,2240,7950
118,264950,4,3,1990,9656,2,0,0,3,7,1990,0,1994,10,0.3125,0.002,1500,9656
119,350000,4,2.25,2390,13002,2,0,0,3,8,2390,0,1987,23,0.3111,-0.35,2450,11200
120,554000,3,3,2140,4126,2,0,0,3,8,1960,180,2005,27,0.5368,-0.073,2280,2615
121,272000,2,1,670,6300,1,0,0,4,6,670,0,1942,126,0.5145,-0.374,740,6300
122,360000,4,1.75,2010,12188,1,0,0,4,7,1150,860,1960,59,0.5013,-0.147,1720,8475
123,660000,2,1,1070,5000,1,0,0,3,7,1070,0,1924,103,0.6631,-0.337,1400,4000
124,230000,6,1.5,2140,36509,2,0,0,4,8,2140,0,1903,1,0.2668,-0.252,1710,12000
125,330000,2,1.5,1440,11954,1,0,0,4,8,1440,0,1978,2,0.2909,-0.219,1460,9730
126,1.30E+06,5,4,3870,5929,2,0,0,3,10,3870,0,2014,52,0.6965,-0.134,3600,5625
127,640000,4,3,2460,9973,1,0,0,4,8,1560,900,1965,177,0.7133,-0.361,1830,7200
128,366000,4,2.75,2020,8093,1,0,0,5,7,1300,720,1961,133,0.7685,-0.332,1920,8089
129,416500,3,1,1100,4184,1,0,0,4,7,1100,0,1965,136,0.5309,-0.382,1630,4366
130,520000,3,1,940,3000,2,0,0,3,7,940,0,1903,122,0.6033,-0.3,1210,3500
131,356000,3,1,940,2366,1,0,0,3,6,940,0,1916,107,0.6744,-0.383,1500,5000
132,358000,4,2.75,2580,11900,1,0,0,4,7,1620,960,1967,58,0.4475,-0.159,1570,9375
133,380000,3,3.25,2090,51212,1,0,0,3,8,1510,580,1989,92,0.3097,-0.099,2690,40820
134,416000,2,1,940,4264,1,0,0,5,7,940,0,1949,126,0.5314,-0.378,1630,4472
135,287000,3,2.25,1490,9600,1,0,0,4,7,1170,320,1987,19,0.7378,0.023,1590,10104
136,1.00E+06,3,3,2880,3750,2,0,0,3,9,2220,660,1909,122,0.6155,-0.29,1910,4000
137,550000,3,1.75,1940,8376,1,0,0,4,8,1290,650,1963,6,0.5586,-0.173,2400,8674
138,485500,2,1.5,1340,1286,2,0,0,3,8,1190,150,2006,122,0.617,-0.309,1460,1245
139,490000,3,2.75,1990,31200,1,0,0,3,8,1990,0,1986,29,0.5544,-0.035,3120,29625
140,275000,2,1.75,2090,11317,1,0,0,5,7,1090,1000,1931,188,0.4594,-0.279,1940,11317
141,230000,3,1.75,1400,6956,1,0,0,4,7,1400,0,1957,31,0.4233,-0.198,1400,9375
142,205000,3,1.75,1420,6980,1,0,0,5,7,820,600,1980,23,0.2873,-0.367,1470,7319
143,245000,2,1,1020,15000,2,0,0,3,6,1020,0,1933,168,0.4956,-0.321,1480,14519
144,380000,4,3,2270,11500,1,0,0,3,8,1540,730,1967,34,0.7089,-0.241,2020,10918
145,325000,4,1.5,1470,70800,1,0,0,3,7,1470,0,1976,10,0.3458,0.052,1810,72337
146,762400,3,1.75,2430,14607,1,0,1,3,8,1230,1200,1949,40,0.5588,-0.211,2750,17425
147,550000,4,3,2700,5100,1,0,0,4,8,1440,1260,1968,136,0.5331,-0.384,1880,5100
148,476000,3,3,1440,3840,2,0,0,3,7,1440,0,2001,53,0.6873,-0.043,1600,3131
149,812000,3,3,2040,4559,2,0,0,3,9,2040,0,1998,122,0.6156,-0.295,1500,4500
150,1.12E+06,4,3.75,4040,14212,2,0,0,3,11,4040,0,2002,59,0.5189,-0.147,3940,14212
151,285000,2,1.5,990,1380,3,0,0,3,7,990,0,2001,133,0.7218,-0.356,1050,1380
152,201500,3,1,1160,8320,1,0,0,4,7,1160,0,1959,32,0.3831,-0.288,1480,7800
153,740000,2,1.75,2080,4800,1,0,0,5,7,1080,1000,1923,117,0.6896,-0.362,1310,4800
154,208950,3,1,960,5700,1,0,0,4,5,960,0,1956,56,0.4983,-0.172,960,5700
155,440000,3,2,1650,6408,2,0,0,4,8,1650,0,1977,52,0.6638,-0.128,1750,6402
156,470000,4,2.75,2150,9820,1,0,0,4,8,1220,930,1979,11,0.7758,-0.2,2060,9830
157,297000,2,1.75,1280,37373,1,0,0,4,7,1280,0,1996,22,0.2631,-0.019,2180,48351
158,385200,4,1,1550,7740,2,0,0,3,6,1550,0,1954,126,0.5222,-0.375,1220,7740
159,850000,4,3.75,3890,22000,2,0,0,3,10,3890,0,2007,27,0.5052,0.094,1610,23142
160,475000,3,3,1920,4534,2,0,0,3,8,1920,0,1986,34,0.7144,-0.204,1380,5100
161,622000,4,1.75,2680,6120,1,0,0,5,8,1340,1340,1959,117,0.6965,-0.393,2320,6840
162,674950,4,3.5,2650,3127,2,0,0,3,8,2230,420,2011,27,0.5381,-0.046,2330,3137
163,392000,4,2.25,2360,7733,2,0,0,3,8,2360,0,1983,58,0.4403,-0.137,2160,7733
164,274950,3,2.25,1570,8767,1,0,0,3,7,1180,390,1990,38,0.3568,-0.038,1570,7434
165,465000,3,1.5,2020,11358,1,0,0,4,6,1190,830,1956,33,0.6641,-0.185,2370,9520
166,360000,3,2,1960,8846,1,0,3,4,6,980,980,1940,178,0.5101,-0.246,2190,6363
167,1.31E+06,4,4.5,4750,13912,2,0,2,3,10,3600,1150,2005,118,0.5332,-0.265,3600,22124
168,1.90E+06,4,3,3070,7830,2,0,2,3,11,1970,1100,2009,144,0.593,-0.291,2440,4682
169,650000,4,3,2900,15535,1,0,2,4,7,1870,1030,1961,8,0.612,-0.119,2330,10217
170,1.58E+06,4,3.25,4670,51836,2,0,0,4,12,4670,0,1988,5,0.635,-0.164,4230,41075
171,460000,3,1,1860,6360,1,0,0,3,8,1470,390,1954,136,0.5327,-0.392,1770,6175
172,215000,4,3,2130,4496,2,0,0,3,7,2130,0,2004,1,0.3041,-0.28,3220,5400
173,635000,3,3,2230,1407,3,0,0,3,8,1850,380,2014,27,0.5446,-0.017,2290,1407
174,402500,3,1,1290,4000,2,0,0,3,7,1290,0,1926,118,0.5462,-0.277,1160,5040
175,799000,3,1,1510,4178,2,0,0,3,8,1510,0,1902,103,0.6849,-0.335,2140,4916
176,906000,3,3,2030,1800,3,0,0,3,9,2030,0,2013,112,0.6199,-0.3,1450,1441
177,480000,4,1,2080,5500,1,0,0,3,7,1040,1040,1941,117,0.6838,-0.386,1280,4000
178,365000,2,1,1250,8100,1,0,0,4,7,1250,0,1947,125,0.7294,-0.329,1710,8100
179,245000,2,1,670,2356,1,0,0,5,6,670,0,1960,144,0.5918,-0.295,1220,1740
180,715000,4,3,1860,3840,2,0,0,3,7,1170,690,1928,117,0.6886,-0.359,1400,3840
181,955000,5,2.25,2510,9887,2,0,0,3,8,2510,0,1972,40,0.5339,-0.223,2510,10006
182,699000,3,3,2680,5497,2,0,0,3,9,2680,0,2001,52,0.7043,-0.128,2780,5497
183,540000,7,5.75,3700,7647,2,0,1,3,8,3700,0,1948,155,0.7393,-0.289,2510,7479
184,261500,4,3,2460,7800,1,0,0,3,8,1500,960,1977,23,0.3081,-0.384,2210,7800
185,615000,3,3,1420,991,2,0,0,3,8,1040,380,2005,102,0.6408,-0.327,1500,1301
186,354000,3,1,940,10368,1,0,0,3,7,940,0,1965,52,0.6608,-0.133,2090,9620
187,440000,3,2,1800,10950,1,0,0,4,8,1800,0,1982,6,0.557,-0.163,2400,11300
188,519000,4,3,3250,4500,2,0,0,3,8,3250,0,2009,59,0.4944,-0.149,3030,4518
189,358000,4,3,1830,7308,2,0,0,3,7,1830,0,2002,38,0.3565,-0.015,1830,5692
190,765000,2,3,2170,6750,1,0,0,3,8,2170,0,2012,53,0.7115,-0.014,2150,6074
191,575000,4,1.75,1630,5750,1,0,0,3,7,1160,470,1947,116,0.5674,-0.384,1640,5750
192,1.34E+06,4,1.75,2300,13342,2,1,4,3,7,2300,0,1934,125,0.7308,-0.282,2500,13342
193,325000,4,3,2040,5472,2,0,0,3,8,2040,0,2003,92,0.3337,-0.189,2420,5782
194,1.48E+06,5,3.25,3680,10300,2,0,0,4,10,3680,0,1927,105,0.6548,-0.28,2690,7200
195,310000,5,2,2730,7344,1,0,0,5,7,1510,1220,1962,58,0.4602,-0.171,1730,7700
196,281000,3,1.75,1350,8737,1,0,0,3,7,1350,0,1966,188,0.4378,-0.279,1600,8928
197,325000,3,1,850,6906,1,0,0,3,6,850,0,1948,155,0.7441,-0.314,1150,6907
198,858000,4,2.25,3070,13720,2,0,0,3,9,3070,0,1978,7,0.6133,-0.152,3010,9657
199,1.08E+06,3,3,3280,10302,1,0,0,3,10,1680,1600,1970,115,0.6948,-0.286,1550,6300
200,800000,4,1.75,2150,9148,1,0,0,4,7,2150,0,1955,4,0.5828,-0.197,2370,9148
201,1.01E+06,4,2.75,2940,5400,2,0,2,5,8,1940,1000,1910,119,0.6366,-0.369,1970,2008
202,590000,4,3,2340,8971,2,0,0,3,9,2340,0,1987,29,0.5679,-0.011,2510,9219
203,560000,3,2,2090,15790,1,0,0,3,9,2090,0,1992,34,0.7296,-0.199,1820,8770
204,490000,3,1,960,5750,1,0,0,3,7,960,0,1951,116,0.5689,-0.393,1520,5750
205,205000,5,1.75,1730,5200,1,0,0,4,7,1050,680,1978,42,0.3628,-0.089,1350,5200
206,550000,4,3,3350,6605,2,0,0,3,8,2670,680,1990,11,0.7498,-0.181,2730,5962
207,208400,2,3,1570,1268,3,0,0,3,7,1570,0,2007,106,0.534,-0.365,1570,1300
208,700000,5,3.25,2400,3118,2,0,0,4,7,1780,620,1928,122,0.6094,-0.291,2100,3941
209,440000,4,1.75,2180,10200,1,0,2,3,8,2000,180,1966,28,0.7638,-0.27,2590,10445
210,214950,3,1.75,1570,4875,1,0,0,4,7,1310,260,1977,42,0.3621,-0.094,1380,5200
211,288349,3,1,1250,18616,1,0,0,4,6,1250,0,1972,10,0.3414,-0.047,1920,15654
212,730000,4,1,1870,4992,2,0,0,4,7,1670,200,1940,199,0.6437,-0.396,2160,5239
213,1.11E+06,5,3.25,3350,4000,2,0,0,4,8,2510,840,1997,105,0.6645,-0.291,1620,4000
214,592000,4,3,2300,11165,2,0,0,4,8,2300,0,1979,8,0.5794,-0.118,2170,11165
215,273000,3,2.25,1930,8192,1,0,0,3,7,1470,460,1984,3,0.2624,-0.299,1510,8192
216,290700,3,3,1670,6666,2,0,0,4,7,1670,0,1992,38,0.3488,-0.033,1370,6170
217,675000,3,1.75,2130,4400,1,0,0,3,7,1430,700,1922,102,0.6417,-0.325,1710,3300
218,730000,4,3,2740,11975,2,0,0,4,8,2740,0,1991,74,0.6315,-0.028,2310,9068
219,165000,3,1,1120,5000,1,0,0,3,6,1120,0,1917,146,0.5109,-0.357,1050,5000
220,826600,4,3.25,3230,5000,2,0,0,4,7,1750,1480,1916,105,0.6702,-0.3,1730,4000
221,235000,4,1,1500,6360,2,0,0,3,6,1500,0,1944,178,0.4979,-0.24,1190,6360
222,550700,2,1,1010,5000,2,0,0,4,6,1010,0,1908,105,0.6692,-0.297,1460,5000
223,399950,5,2,2760,6420,1,0,0,5,7,1380,1380,1964,118,0.5396,-0.276,1400,7112
224,375000,2,1,710,4618,1,0,1,3,5,710,0,1925,199,0.64,-0.394,1810,4988
225,253000,3,3,2020,6564,1,0,0,3,7,1310,710,1994,42,0.3545,-0.158,1710,5151
226,312500,4,0.5,2300,5570,2,0,0,3,8,2300,0,1996,92,0.3285,-0.168,1820,6371
227,890000,4,2.75,3220,15467,2,0,0,3,11,3220,0,1994,77,0.7128,-0.083,3670,16641
228,575000,4,2,1660,4800,2,0,0,3,7,1660,0,1922,103,0.6556,-0.345,1660,4800
229,558000,2,1.75,1930,4601,1,0,0,3,8,1930,0,2006,53,0.7196,-0.022,1670,4500
230,550000,3,1.75,2910,35200,2,0,0,3,8,2910,0,1979,75,0.5747,-0.035,2590,37500
231,723000,4,2,2790,8793,1,0,0,4,8,1640,1150,1977,6,0.5509,-0.16,2400,9286
232,257000,2,1.75,1220,2268,1,0,0,4,6,610,610,1909,144,0.592,-0.295,1240,1675
233,249500,2,1,900,4500,1,0,0,3,6,900,0,1951,55,0.4881,-0.204,860,4500
234,760000,4,2.75,3370,12447,2,0,0,3,10,3370,0,1991,77,0.7309,-0.058,3700,13129
235,1.03E+06,5,2.75,3190,16920,1,0,3,3,9,1690,1500,1976,6,0.5641,-0.16,3100,13100
236,348000,3,1.5,1040,1824,1,0,0,3,6,1040,0,1925,115,0.6793,-0.3,1010,5100
237,695000,4,3,3150,9130,2,0,0,3,9,3150,0,2001,75,0.5974,-0.017,2970,6228
238,379000,2,1,800,6380,1,0,2,3,7,800,0,1940,115,0.691,-0.309,920,5940
239,699000,4,3,3230,40319,2,0,0,4,10,3230,0,1987,27,0.4856,-0.069,2990,40234
240,299900,3,1,1110,8593,1,0,0,3,7,1110,0,1979,155,0.7595,-0.309,1780,8593
241,222900,2,1,1110,6411,1,0,0,3,6,1110,0,1944,178,0.4962,-0.242,1150,6504
242,500000,3,3,1480,1171,3,0,0,3,8,1480,0,2006,112,0.62,-0.3,1480,1231
243,1.61E+06,5,4.5,6085,142725,3,0,0,3,11,6085,0,2000,14,0.6085,0.048,4830,128457
244,375000,3,2,1450,7300,2,0,0,5,7,1450,0,1955,133,0.7517,-0.342,1660,9069
245,620000,5,1,2230,16800,2,0,3,4,7,1700,530,1923,136,0.5161,-0.395,2730,18400
246,430000,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,117,0.687,-0.386,1570,4500
247,495000,4,2.75,2656,21195,2,0,0,3,9,2656,0,2014,1,0.3162,-0.272,1860,16510
248,257000,3,1.75,1540,8223,1,0,0,4,7,1070,470,1987,42,0.3666,-0.089,1240,8113
249,140000,3,1,1090,10114,1,0,0,4,7,1090,0,1955,2,0.2975,-0.223,1380,7800
250,577500,2,1,1640,5515,1,0,0,4,7,940,700,1926,103,0.6912,-0.334,2054,5515
251,641000,4,3,2770,63118,2,0,0,3,9,2770,0,1997,14,0.6622,0.039,2770,44224
252,664000,4,2.75,2510,11880,1,0,0,5,8,1630,880,1978,6,0.5427,-0.181,2390,11211
253,600000,3,1,1440,4300,2,0,0,3,8,1440,0,1929,117,0.6847,-0.372,1640,4500
254,457500,3,1.75,1840,4030,1,0,0,5,7,1050,790,1925,108,0.5549,-0.311,1840,5040
255,1.05E+06,4,2.75,3950,12840,2,0,0,5,8,3950,0,1960,40,0.5489,-0.219,2350,12507
256,450000,4,3,2070,3982,2,0,0,3,7,2070,0,2004,65,0.531,0.146,2340,4067
257,375000,2,1,980,3915,1,0,0,4,7,980,0,1919,118,0.5589,-0.29,1425,1576
258,588000,4,2.25,2580,7344,2,0,0,3,8,2580,0,1977,27,0.5647,-0.09,2390,7507
259,3.20E+06,4,3.25,7000,28206,1,1,4,4,12,3500,3500,1991,75,0.5928,-0.086,4913,14663
260,545000,4,2.75,2650,6717,2,0,0,3,10,2650,0,2014,56,0.4947,-0.171,2740,7923
261,330000,4,2.25,1790,9920,1,0,0,4,7,1170,620,1969,59,0.5126,-0.149,1990,9648
262,645000,3,1,2270,4182,1,0,0,4,7,1170,1100,1946,115,0.688,-0.32,1860,4080
263,1.37E+06,2,2.25,2460,16940,2,0,4,4,9,1930,530,1936,117,0.6792,-0.404,2260,6851
264,220000,3,1.75,1720,7587,1,0,0,4,7,1140,580,1981,92,0.3175,-0.182,1120,7287
265,340000,3,1,1840,8100,1,0,0,4,7,920,920,1953,166,0.455,-0.35,1250,8100
266,235000,3,1.5,1660,8738,1,0,0,4,7,1080,580,1959,2,0.3117,-0.208,1500,8466
